,Macro,Municipality,Total Emission (Tons),Total Energy Emission (Tons),Total Travel Emission (Tons),Total households,Avg Emission (Tons Per Household)
0,GTHA,Region of Durham,2151093.497792558,169423.35841440404,1981670.1393781537,242970.0,8.85332962008708
1,GTHA,Region of York,2796536.363872317,267166.31909495423,2529370.044777363,391065.0,7.1510781171220055
2,GTHA,City of Toronto,3650658.561017593,553361.0955843551,3097297.465433238,1160795.0,3.144964064298686
3,GTHA,Region of Peel,2857972.7251147386,283909.27748672094,2574063.4476280175,450710.0,6.341045739199792
4,GTHA,Region of Halton,1639384.7472296585,137355.52436419265,1502029.2228654658,208640.0,7.857480575295526
5,GTHA,City of Hamilton,1409131.1218462395,142611.25712576866,1266519.864720471,222765.0,6.325639673405784
6,Outer Ring,County of Northumberland,399079.22768853634,26994.698862525584,372084.52882601076,37320.0,10.69344125639165
7,Outer Ring,County of Peterborough,225721.06188788667,20021.19452775875,205699.86736012794,25750.0,8.765866481082977
8,Outer Ring,City of Peterborough,181808.7291193758,23400.108848550386,158408.62027082543,35980.0,5.0530497253856534
9,Outer Ring,City of Kawartha Lakes,332422.8527591167,24209.797225965332,308213.0555331513,32715.0,10.161175386187274
10,Outer Ring,County of Simcoe,1336318.7917449656,99020.28834459768,1237298.503400368,133135.0,10.037321453749694
11,Outer Ring,City of Barrie,434008.8015903881,36921.86877139596,397086.9328189922,55285.0,7.850389827084889
12,Outer Ring,City of Orillia,95018.45270847245,9186.603760536198,85831.84894793625,14410.0,6.593924546042502
13,Outer Ring,County of Dufferin,297472.46409205446,16982.352901901813,280490.11119015265,23320.0,12.756109094856537
14,Outer Ring,County of Wellington,414014.5510394194,25872.908914227897,388141.6421251915,35350.0,11.71186848767806
15,Outer Ring,City of Guelph,349478.4423428883,35612.272441175664,313866.1699017126,56515.0,6.183817435068359
16,Outer Ring,Region of Waterloo,1490114.3646800322,141313.99742755358,1348800.3672524786,222350.0,6.701661185878265
17,Outer Ring,County of Brant,136074.6079952296,10773.175617220148,125301.43237800944,14360.0,9.475947631979777
18,Outer Ring,City of Brantford,281054.86790690024,27688.23434209419,253366.63356480605,41670.0,6.744777247585799
19,Outer Ring,County of Haldimand,201980.91306228694,14052.52743081465,187928.3856314723,18725.0,10.786697626824402
20,Outer Ring,Region of Niagara,1353261.402911129,135063.38815274183,1218198.014758387,195935.0,6.906685395213356
21,GTHA,GTHA Sum,14504777.016873104,1553826.8320703956,12950950.18480271,2676945.0,5.418406809580737
22,Outer Ring,Outer Ring Sum,7527829.5315286815,647113.4175690596,6880716.113959623,942820.0,7.984376160379162
23,Total,Overall Sum,22032606.548401788,2200940.249639455,19831666.298762333,3619765.0,6.086750534468892

