,Macro,Municipality,Total Emission (Tons),Total Energy Emission (Tons),Total Travel Emission (Tons),Total households,Avg Emission (Tons Per Household)
0,GTHA,Region of Durham,1854894.109825195,169423.35841440404,1685470.751410791,242970.0,7.63425159412765
1,GTHA,Region of York,2418472.50535289,267166.31909495423,2151306.186257936,391065.0,6.184323591609809
2,GTHA,City of Toronto,3187706.8338940903,553361.0955843551,2634345.738309735,1160795.0,2.7461410790829475
3,GTHA,Region of Peel,2473228.5627912194,283909.27748672094,2189319.285304499,450710.0,5.487405566309199
4,GTHA,Region of Halton,1414877.0818613677,137355.52436419265,1277521.5574971752,208640.0,6.7814277313140705
5,GTHA,City of Hamilton,1219824.9394881455,142611.25712576866,1077213.682362377,222765.0,5.475837494616055
6,Outer Ring,County of Northumberland,343463.9123439891,26994.698862525584,316469.2134814635,37320.0,9.203213085315893
7,Outer Ring,County of Peterborough,194975.19071269868,20021.19452775875,174953.99618493993,25750.0,7.57185206651257
8,Outer Ring,City of Peterborough,158131.4604152632,23400.108848550386,134731.3515667128,35980.0,4.39498222388169
9,Outer Ring,City of Kawartha Lakes,286354.3792032111,24209.797225965332,262144.58197724575,32715.0,8.752999517139267
10,Outer Ring,County of Simcoe,1151380.3137623856,99020.28834459768,1052360.025417788,133135.0,8.64821657537376
11,Outer Ring,City of Barrie,374656.38761712675,36921.86877139596,337734.51884573075,55285.0,6.776818081163548
12,Outer Ring,City of Orillia,82189.20296539277,9186.603760536198,73002.59920485658,14410.0,5.703622690172989
13,Outer Ring,County of Dufferin,255547.72716712332,16982.352901901813,238565.37426522153,23320.0,10.958307339928101
14,Outer Ring,County of Wellington,355999.18583933346,25872.908914227897,330126.27692510554,35350.0,10.070698326430932
15,Outer Ring,City of Guelph,302565.0002007361,35612.272441175664,266952.72775956045,56515.0,5.35371140760393
16,Outer Ring,Region of Waterloo,1288509.7508083687,141313.99742755358,1147195.753380815,222350.0,5.794961775616679
17,Outer Ring,County of Brant,117345.85650208418,10773.175617220148,106572.68088486404,14360.0,8.171717026607533
18,Outer Ring,City of Brantford,243184.26557911004,27688.23434209419,215496.03123701585,41670.0,5.835955497458844
19,Outer Ring,County of Haldimand,173891.33765837838,14052.52743081465,159838.81022756375,18725.0,9.286586790834626
20,Outer Ring,Region of Niagara,1171177.8667946092,135063.38815274183,1036114.4786418674,195935.0,5.97737957381075
21,GTHA,GTHA Sum,12569004.033212908,1553826.8320703956,11015177.201142512,2676945.0,4.695279145896874
22,Outer Ring,Outer Ring Sum,6499371.83756981,647113.4175690596,5852258.420000751,942820.0,6.893544724941994
23,Total,Overall Sum,19068375.870782718,2200940.249639455,16867435.621143263,3619765.0,5.267849120255795
