Municipality,Year,Gender,Age,Persons
Region for Durham,2011,Male, 0 - 4," 18,240 "
Region for Durham,2011,Male, 5 - 9," 19,310 "
Region for Durham,2011,Male, 10 - 14," 21,130 "
Region for Durham,2011,Male, 15 - 19," 25,170 "
Region for Durham,2011,Male, 20 - 24," 22,630 "
Region for Durham,2011,Male, 25 - 25," 19,320 "
Region for Durham,2011,Male, 30 - 34," 19,220 "
Region for Durham,2011,Male, 35 - 39," 21,160 "
Region for Durham,2011,Male, 40 - 44," 23,130 "
Region for Durham,2011,Male, 45 - 49," 28,010 "
Region for Durham,2011,Male, 50 - 54," 25,610 "
Region for Durham,2011,Male, 55 - 59," 19,520 "
Region for Durham,2011,Male, 60 - 64," 16,300 "
Region for Durham,2011,Male, 65 - 69," 11,120 "
Region for Durham,2011,Male, 70 - 74," 7,890 "
Region for Durham,2011,Male, 75 - 79," 6,260 "
Region for Durham,2011,Male, 80 - 84," 4,130 "
Region for Durham,2011,Male, 85 - 89," 2,140 "
Region for Durham,2011,Male, 90+, 770 
Region for Durham,2011,Female, 0 - 4," 17,470 "
Region for Durham,2011,Female, 5 - 9," 18,260 "
Region for Durham,2011,Female, 10 - 14," 20,650 "
Region for Durham,2011,Female, 15 - 19," 23,870 "
Region for Durham,2011,Female, 20 - 24," 20,910 "
Region for Durham,2011,Female, 25 - 25," 18,840 "
Region for Durham,2011,Female, 30 - 34," 20,440 "
Region for Durham,2011,Female, 35 - 39," 21,880 "
Region for Durham,2011,Female, 40 - 44," 24,470 "
Region for Durham,2011,Female, 45 - 49," 28,590 "
Region for Durham,2011,Female, 50 - 54," 25,560 "
Region for Durham,2011,Female, 55 - 59," 20,340 "
Region for Durham,2011,Female, 60 - 64," 17,300 "
Region for Durham,2011,Female, 65 - 69," 11,980 "
Region for Durham,2011,Female, 70 - 74," 9,230 "
Region for Durham,2011,Female, 75 - 79," 7,700 "
Region for Durham,2011,Female, 80 - 84," 6,210 "
Region for Durham,2011,Female, 85 - 89," 4,150 "
Region for Durham,2011,Female, 90+," 2,000 "
Region for Durham,2021,Male, 0 - 4," 22,600 "
Region for Durham,2021,Male, 5 - 9," 21,000 "
Region for Durham,2021,Male, 10 - 14," 21,100 "
Region for Durham,2021,Male, 15 - 19," 26,280 "
Region for Durham,2021,Male, 20 - 24," 34,780 "
Region for Durham,2021,Male, 25 - 25," 38,270 "
