Municipality,Year,Housing Unit Type,Unit Count,,,
 Region of Durham,2001,Single," 120,020 ",,,
 Region of Durham,2011,Single," 144,460 ",,,
 Region of Durham,2021,Single," 172,790 ",,,
 Region of Durham,2031,Single," 212,190 ",,,
 Region of Durham,2041,Single," 251,880 ",,,
 Region of Durham,2001,Semis," 10,510 ",,,
 Region of Durham,2011,Semis," 12,050 ",,,
 Region of Durham,2021,Semis," 14,610 ",,,
 Region of Durham,2031,Semis," 19,000 ",,,
 Region of Durham,2041,Semis," 23,240 ",,,
 Region of Durham,2001,Rows," 14,250 ",,,
 Region of Durham,2011,Rows," 21,710 ",,,
 Region of Durham,2021,Rows," 31,260 ",,,
 Region of Durham,2031,Rows," 42,750 ",,,
 Region of Durham,2041,Rows," 54,480 ",,,
 Region of Durham,2001,Apartment," 26,940 ",,,
 Region of Durham,2011,Apartment," 35,490 ",,,
 Region of Durham,2021,Apartment," 44,950 ",,,
 Region of Durham,2031,Apartment," 62,810 ",,,
 Region of Durham,2041,Apartment," 84,550 ",,,
City of Toronto,2001,Single," 307,150 ",,,
City of Toronto,2011,Single," 275,120 ",,,
City of Toronto,2021,Single," 280,910 ",,,
City of Toronto,2031,Single," 287,090 ",,,
City of Toronto,2041,Single," 292,490 ",,,
City of Toronto,2001,Semis," 92,060 ",,,
City of Toronto,2011,Semis," 72,410 ",,,
City of Toronto,2021,Semis," 73,880 ",,,
City of Toronto,2031,Semis," 75,390 ",,,
City of Toronto,2041,Semis," 76,480 ",,,
City of Toronto,2001,Rows," 52,120 ",,,
City of Toronto,2011,Rows," 60,300 ",,,
City of Toronto,2021,Rows," 68,220 ",,,
City of Toronto,2031,Rows," 75,450 ",,,
City of Toronto,2041,Rows," 81,340 ",,,
City of Toronto,2001,Apartment," 491,760 ",,,
City of Toronto,2011,Apartment," 640,060 ",,,
City of Toronto,2021,Apartment," 739,050 ",,,
City of Toronto,2031,Apartment," 823,990 ",,,
City of Toronto,2041,Apartment," 890,880 ",,,
Region of York,2001,Single," 167,410 ",,,
Region of York,2011,Single," 215,740 ",,,
Region of York,2021,Single," 255,290 ",,,
Region of York,2031,Single," 294,670 ",,,
Region of York,2041,Single," 317,960 ",,,
Region of York,2001,Semis," 9,350 ",,,
Region of York,2011,Semis," 19,680 ",,,
Region of York,2021,Semis," 27,310 ",,,
Region of York,2031,Semis," 34,090 ",,,
Region of York,2041,Semis," 39,890 ",,,
Region of York,2001,Rows," 19,440 ",,,
Region of York,2011,Rows," 37,250 ",,,
Region of York,2021,Rows," 53,120 ",,,
Region of York,2031,Rows," 69,230 ",,,
Region of York,2041,Rows," 83,190 ",,,
Region of York,2001,Apartment," 27,000 ",,,
Region of York,2011,Apartment," 50,780 ",,,
Region of York,2021,Apartment," 73,150 ",,,
Region of York,2031,Apartment," 96,390 ",,,
Region of York,2041,Apartment," 118,130 ",,,
Region of Peel,2001,Single," 153,660 ",,,
Region of Peel,2011,Single," 187,290 ",,,
Region of Peel,2021,Single," 212,660 ",,,
Region of Peel,2031,Single," 238,140 ",,,
Region of Peel,2041,Single," 259,760 ",,,
Region of Peel,2001,Semis," 38,420 ",,,
Region of Peel,2011,Semis," 47,730 ",,,
Region of Peel,2021,Semis," 55,230 ",,,
Region of Peel,2031,Semis," 61,870 ",,,
Region of Peel,2041,Semis," 67,240 ",,,
Region of Peel,2001,Rows," 37,770 ",,,
Region of Peel,2011,Rows," 51,170 ",,,
Region of Peel,2021,Rows," 62,270 ",,,
Region of Peel,2031,Rows," 73,440 ",,,
Region of Peel,2041,Rows," 83,340 ",,,
Region of Peel,2001,Apartment," 79,010 ",,,
Region of Peel,2011,Apartment," 116,750 ",,,
Region of Peel,2021,Apartment," 139,990 ",,,
Region of Peel,2031,Apartment," 164,110 ",,,
Region of Peel,2041,Apartment," 187,530 ",,,
Region of Halton,2001,Single," 84,530 ",,,
Region of Halton,2011,Single," 107,990 ",,,
Region of Halton,2021,Single," 129,050 ",,,
Region of Halton,2031,Single," 159,180 ",,,
Region of Halton,2041,Single," 190,760 ",,,
Region of Halton,2001,Semis," 5,610 ",,,
Region of Halton,2011,Semis," 9,450 ",,,
Region of Halton,2021,Semis," 11,980 ",,,
Region of Halton,2031,Semis," 16,000 ",,,
Region of Halton,2041,Semis," 19,720 ",,,
Region of Halton,2001,Rows," 17,270 ",,,
Region of Halton,2011,Rows," 29,610 ",,,
Region of Halton,2021,Rows," 41,670 ",,,
Region of Halton,2031,Rows," 54,160 ",,,
Region of Halton,2041,Rows," 67,130 ",,,
Region of Halton,2001,Apartment," 26,260 ",,,
Region of Halton,2011,Apartment," 31,970 ",,,
Region of Halton,2021,Apartment," 43,580 ",,,
Region of Halton,2031,Apartment," 61,440 ",,,
Region of Halton,2041,Apartment," 81,500 ",,,
City of Hamilton,2001,Single," 112,920 ",,,
City of Hamilton,2011,Single," 118,480 ",,,
City of Hamilton,2021,Single," 128,920 ",,,
City of Hamilton,2031,Single," 142,820 ",,,
City of Hamilton,2041,Single," 156,330 ",,,
City of Hamilton,2001,Semis," 5,610 ",,,
City of Hamilton,2011,Semis," 6,330 ",,,
City of Hamilton,2021,Semis," 7,490 ",,,
City of Hamilton,2031,Semis," 9,250 ",,,
City of Hamilton,2041,Semis," 10,890 ",,,
City of Hamilton,2001,Rows," 15,880 ",,,
City of Hamilton,2011,Rows," 21,440 ",,,
City of Hamilton,2021,Rows," 28,420 ",,,
City of Hamilton,2031,Rows," 35,650 ",,,
City of Hamilton,2041,Rows," 43,080 ",,,
City of Hamilton,2001,Apartment," 53,740 ",,,
City of Hamilton,2011,Apartment," 57,560 ",,,
City of Hamilton,2021,Apartment," 64,010 ",,,
City of Hamilton,2031,Apartment," 74,730 ",,,
City of Hamilton,2041,Apartment," 88,110 ",,,
County of Northumberland,2001,Single," 23,670 ",,,
County of Northumberland,2011,Single," 26,770 ",,,
County of Northumberland,2021,Single," 29,340 ",,,
County of Northumberland,2031,Single," 32,000 ",,,
County of Northumberland,2041,Single," 34,520 ",,,
County of Northumberland,2001,Semis, 860 ,,,
County of Northumberland,2011,Semis, 770 ,,,
County of Northumberland,2021,Semis, 900 ,,,
County of Northumberland,2031,Semis, 990 ,,,
County of Northumberland,2041,Semis," 1,060 ",,,
County of Northumberland,2001,Rows, 900 ,,,
County of Northumberland,2011,Rows," 1,360 ",,,
County of Northumberland,2021,Rows," 2,100 ",,,
County of Northumberland,2031,Rows," 2,890 ",,,
County of Northumberland,2041,Rows," 3,630 ",,,
County of Northumberland,2001,Apartment," 4,300 ",,,
County of Northumberland,2011,Apartment," 4,200 ",,,
County of Northumberland,2021,Apartment," 4,810 ",,,
County of Northumberland,2031,Apartment," 5,180 ",,,
County of Northumberland,2041,Apartment," 5,700 ",,,
County of Peterborough,2001,Single," 18,720 ",,,
County of Peterborough,2011,Single," 20,140 ",,,
County of Peterborough,2021,Single," 23,060 ",,,
County of Peterborough,2031,Single," 25,450 ",,,
County of Peterborough,2041,Single," 27,460 ",,,
County of Peterborough,2001,Semis, 170 ,,,
County of Peterborough,2011,Semis, 150 ,,,
County of Peterborough,2021,Semis, 170 ,,,
County of Peterborough,2031,Semis, 200 ,,,
County of Peterborough,2041,Semis, 220 ,,,
County of Peterborough,2001,Rows, 40 ,,,
County of Peterborough,2011,Rows, 120 ,,,
County of Peterborough,2021,Rows, 340 ,,,
County of Peterborough,2031,Rows, 570 ,,,
County of Peterborough,2041,Rows, 780 ,,,
County of Peterborough,2001,Apartment, 920 ,,,
County of Peterborough,2011,Apartment, 810 ,,,
County of Peterborough,2021,Apartment, 960 ,,,
County of Peterborough,2031,Apartment," 1,070 ",,,
County of Peterborough,2041,Apartment," 1,200 ",,,
City of Peterborough,2001,Single," 18,190 ",,,
City of Peterborough,2011,Single," 19,650 ",,,
City of Peterborough,2021,Single," 22,270 ",,,
City of Peterborough,2031,Single," 25,620 ",,,
City of Peterborough,2041,Single," 28,640 ",,,
City of Peterborough,2001,Semis, 730 ,,,
City of Peterborough,2011,Semis, 780 ,,,
City of Peterborough,2021,Semis, 850 ,,,
City of Peterborough,2031,Semis, 910 ,,,
City of Peterborough,2041,Semis, 970 ,,,
City of Peterborough,2001,Rows," 1,920 ",,,
City of Peterborough,2011,Rows," 2,660 ",,,
City of Peterborough,2021,Rows," 3,730 ",,,
City of Peterborough,2031,Rows," 4,850 ",,,
City of Peterborough,2041,Rows," 5,880 ",,,
City of Peterborough,2001,Apartment," 8,460 ",,,
City of Peterborough,2011,Apartment," 10,350 ",,,
City of Peterborough,2021,Apartment," 11,130 ",,,
City of Peterborough,2031,Apartment," 11,710 ",,,
City of Peterborough,2041,Apartment," 12,550 ",,,
City of Kawartha Lakes,2001,Single," 22,950 ",,,
City of Kawartha Lakes,2011,Single," 25,060 ",,,
City of Kawartha Lakes,2021,Single," 28,630 ",,,
City of Kawartha Lakes,2031,Single," 32,580 ",,,
City of Kawartha Lakes,2041,Single," 36,220 ",,,
City of Kawartha Lakes,2001,Semis, 410 ,,,
City of Kawartha Lakes,2011,Semis, 540 ,,,
City of Kawartha Lakes,2021,Semis, 620 ,,,
City of Kawartha Lakes,2031,Semis, 700 ,,,
City of Kawartha Lakes,2041,Semis, 770 ,,,
City of Kawartha Lakes,2001,Rows, 330 ,,,
City of Kawartha Lakes,2011,Rows, 500 ,,,
City of Kawartha Lakes,2021,Rows, 930 ,,,
City of Kawartha Lakes,2031,Rows," 1,470 ",,,
City of Kawartha Lakes,2041,Rows," 1,970 ",,,
City of Kawartha Lakes,2001,Apartment," 3,110 ",,,
City of Kawartha Lakes,2011,Apartment," 3,590 ",,,
City of Kawartha Lakes,2021,Apartment," 3,910 ",,,
City of Kawartha Lakes,2031,Apartment," 4,370 ",,,
City of Kawartha Lakes,2041,Apartment," 5,000 ",,,
County of Simcoe,2001,Single," 73,710 ",,,
County of Simcoe,2011,Single," 88,400 ",,,
County of Simcoe,2021,Single," 107,880 ",,,
County of Simcoe,2031,Single," 129,330 ",,,
County of Simcoe,2041,Single," 151,880 ",,,
County of Simcoe,2001,Semis," 2,990 ",,,
County of Simcoe,2011,Semis," 3,250 ",,,
County of Simcoe,2021,Semis," 4,240 ",,,
County of Simcoe,2031,Semis," 5,340 ",,,
County of Simcoe,2041,Semis," 6,370 ",,,
County of Simcoe,2001,Rows," 2,360 ",,,
County of Simcoe,2011,Rows," 3,980 ",,,
County of Simcoe,2021,Rows," 7,200 ",,,
County of Simcoe,2031,Rows," 10,950 ",,,
County of Simcoe,2041,Rows," 14,880 ",,,
County of Simcoe,2001,Apartment," 9,610 ",,,
County of Simcoe,2011,Apartment," 10,130 ",,,
County of Simcoe,2021,Apartment," 11,940 ",,,
County of Simcoe,2031,Apartment," 13,880 ",,,
County of Simcoe,2041,Apartment," 16,340 ",,,
 City of Barrie ,2001,Single," 23,680 ",,,
 City of Barrie ,2011,Single," 31,160 ",,,
 City of Barrie ,2021,Single," 39,820 ",,,
 City of Barrie ,2031,Single," 49,350 ",,,
 City of Barrie ,2041,Single," 59,300 ",,,
 City of Barrie ,2001,Semis," 1,800 ",,,
 City of Barrie ,2011,Semis," 2,250 ",,,
 City of Barrie ,2021,Semis," 2,640 ",,,
 City of Barrie ,2031,Semis," 3,080 ",,,
 City of Barrie ,2041,Semis," 3,490 ",,,
 City of Barrie ,2001,Rows," 3,130 ",,,
 City of Barrie ,2011,Rows," 5,020 ",,,
 City of Barrie ,2021,Rows," 6,520 ",,,
 City of Barrie ,2031,Rows," 8,270 ",,,
 City of Barrie ,2041,Rows," 10,070 ",,,
 City of Barrie ,2001,Apartment," 8,250 ",,,
 City of Barrie ,2011,Apartment," 11,520 ",,,
 City of Barrie ,2021,Apartment," 14,100 ",,,
 City of Barrie ,2031,Apartment," 16,620 ",,,
 City of Barrie ,2041,Apartment," 19,310 ",,,
City of Orillia,2001,Single," 7,180 ",,,
City of Orillia,2011,Single," 7,620 ",,,
City of Orillia,2021,Single," 8,340 ",,,
City of Orillia,2031,Single," 9,130 ",,,
City of Orillia,2041,Single," 9,790 ",,,
City of Orillia,2001,Semis, 390 ,,,
City of Orillia,2011,Semis, 300 ,,,
City of Orillia,2021,Semis, 320 ,,,
City of Orillia,2031,Semis, 350 ,,,
City of Orillia,2041,Semis, 380 ,,,
City of Orillia,2001,Rows, 780 ,,,
City of Orillia,2011,Rows," 1,020 ",,,
City of Orillia,2021,Rows," 1,660 ",,,
City of Orillia,2031,Rows," 2,410 ",,,
City of Orillia,2041,Rows," 3,120 ",,,
City of Orillia,2001,Apartment," 3,280 ",,,
City of Orillia,2011,Apartment," 4,050 ",,,
City of Orillia,2021,Apartment," 4,820 ",,,
City of Orillia,2031,Apartment," 5,610 ",,,
City of Orillia,2041,Apartment," 6,450 ",,,
County of Dufferin,2001,Single," 12,870 ",,,
County of Dufferin,2011,Single," 15,370 ",,,
County of Dufferin,2021,Single," 17,880 ",,,
County of Dufferin,2031,Single," 20,550 ",,,
County of Dufferin,2041,Single," 22,120 ",,,
County of Dufferin,2001,Semis," 1,340 ",,,
County of Dufferin,2011,Semis," 1,370 ",,,
County of Dufferin,2021,Semis," 1,490 ",,,
County of Dufferin,2031,Semis," 1,630 ",,,
County of Dufferin,2041,Semis," 1,710 ",,,
County of Dufferin,2001,Rows, 950 ,,,
County of Dufferin,2011,Rows," 1,050 ",,,
County of Dufferin,2021,Rows," 1,610 ",,,
County of Dufferin,2031,Rows," 2,080 ",,,
County of Dufferin,2041,Rows," 2,350 ",,,
County of Dufferin,2001,Apartment," 2,040 ",,,
County of Dufferin,2011,Apartment," 2,280 ",,,
County of Dufferin,2021,Apartment," 2,860 ",,,
County of Dufferin,2031,Apartment," 3,440 ",,,
County of Dufferin,2041,Apartment," 4,100 ",,,
County of Wellington,2001,Single," 23,100 ",,,
County of Wellington,2011,Single," 26,310 ",,,
County of Wellington,2021,Single," 29,510 ",,,
County of Wellington,2031,Single," 35,250 ",,,
County of Wellington,2041,Single," 39,280 ",,,
County of Wellington,2001,Semis, 820 ,,,
County of Wellington,2011,Semis, 780 ,,,
County of Wellington,2021,Semis, 970 ,,,
County of Wellington,2031,Semis," 1,320 ",,,
County of Wellington,2041,Semis," 1,690 ",,,
County of Wellington,2001,Rows, 620 ,,,
County of Wellington,2011,Rows, 880 ,,,
County of Wellington,2021,Rows," 1,340 ",,,
County of Wellington,2031,Rows," 2,200 ",,,
County of Wellington,2041,Rows," 3,540 ",,,
County of Wellington,2001,Apartment," 3,200 ",,,
County of Wellington,2011,Apartment," 2,990 ",,,
County of Wellington,2021,Apartment," 3,410 ",,,
County of Wellington,2031,Apartment," 4,480 ",,,
County of Wellington,2041,Apartment," 5,780 ",,,
City of Guelph,2001,Single," 23,040 ",,,
City of Guelph,2011,Single," 26,310 ",,,
City of Guelph,2021,Single," 31,520 ",,,
City of Guelph,2031,Single," 34,500 ",,,
City of Guelph,2041,Single," 35,510 ",,,
City of Guelph,2001,Semis," 1,650 ",,,
City of Guelph,2011,Semis," 2,230 ",,,
City of Guelph,2021,Semis," 3,040 ",,,
City of Guelph,2031,Semis," 3,610 ",,,
City of Guelph,2041,Semis," 3,850 ",,,
City of Guelph,2001,Rows," 4,670 ",,,
City of Guelph,2011,Rows," 5,980 ",,,
City of Guelph,2021,Rows," 8,770 ",,,
City of Guelph,2031,Rows," 11,750 ",,,
City of Guelph,2041,Rows," 13,330 ",,,
City of Guelph,2001,Apartment," 11,170 ",,,
City of Guelph,2011,Apartment," 13,610 ",,,
City of Guelph,2021,Apartment," 16,260 ",,,
City of Guelph,2031,Apartment," 19,490 ",,,
City of Guelph,2041,Apartment," 22,850 ",,,
Region of Waterloo,2001,Single," 91,440 ",,,
Region of Waterloo,2011,Single," 109,760 ",,,
Region of Waterloo,2021,Single," 128,930 ",,,
Region of Waterloo,2031,Single," 150,320 ",,,
Region of Waterloo,2041,Single," 165,140 ",,,
Region of Waterloo,2001,Semis," 11,180 ",,,
Region of Waterloo,2011,Semis," 12,920 ",,,
Region of Waterloo,2021,Semis," 14,990 ",,,
Region of Waterloo,2031,Semis," 17,290 ",,,
Region of Waterloo,2041,Semis," 18,880 ",,,
Region of Waterloo,2001,Rows," 15,220 ",,,
Region of Waterloo,2011,Rows," 20,250 ",,,
Region of Waterloo,2021,Rows," 28,710 ",,,
Region of Waterloo,2031,Rows," 38,790 ",,,
Region of Waterloo,2041,Rows," 47,290 ",,,
Region of Waterloo,2001,Apartment," 43,300 ",,,
Region of Waterloo,2011,Apartment," 48,700 ",,,
Region of Waterloo,2021,Apartment," 59,430 ",,,
Region of Waterloo,2031,Apartment," 71,520 ",,,
Region of Waterloo,2041,Apartment," 81,560 ",,,
County of Brant,2001,Single," 9,590 ",,,
County of Brant,2011,Single," 10,890 ",,,
County of Brant,2021,Single," 12,570 ",,,
County of Brant,2031,Single," 14,850 ",,,
County of Brant,2041,Single," 16,690 ",,,
County of Brant,2001,Semis, 620 ,,,
County of Brant,2011,Semis, 820 ,,,
County of Brant,2021,Semis, 830 ,,,
County of Brant,2031,Semis, 870 ,,,
County of Brant,2041,Semis, 950 ,,,
County of Brant,2001,Rows, 250 ,,,
County of Brant,2011,Rows, 450 ,,,
County of Brant,2021,Rows, 620 ,,,
County of Brant,2031,Rows, 940 ,,,
County of Brant,2041,Rows," 1,330 ",,,
County of Brant,2001,Apartment, 760 ,,,
County of Brant,2011,Apartment, 790 ,,,
County of Brant,2021,Apartment, 960 ,,,
County of Brant,2031,Apartment," 1,370 ",,,
County of Brant,2041,Apartment," 2,040 ",,,
 City of Brantford,2001,Single," 21,240 ",,,
 City of Brantford,2011,Single," 23,500 ",,,
 City of Brantford,2021,Single," 27,900 ",,,
 City of Brantford,2031,Single," 33,370 ",,,
 City of Brantford,2041,Single," 37,470 ",,,
 City of Brantford,2001,Semis," 1,970 ",,,
 City of Brantford,2011,Semis," 1,920 ",,,
 City of Brantford,2021,Semis," 2,180 ",,,
 City of Brantford,2031,Semis," 2,720 ",,,
 City of Brantford,2041,Semis," 3,300 ",,,
 City of Brantford,2001,Rows," 2,670 ",,,
 City of Brantford,2011,Rows," 3,140 ",,,
 City of Brantford,2021,Rows," 4,810 ",,,
 City of Brantford,2031,Rows," 7,250 ",,,
 City of Brantford,2041,Rows," 9,370 ",,,
 City of Brantford,2001,Apartment," 7,970 ",,,
 City of Brantford,2011,Apartment," 8,940 ",,,
 City of Brantford,2021,Apartment," 9,910 ",,,
 City of Brantford,2031,Apartment," 11,740 ",,,
 City of Brantford,2041,Apartment," 14,310 ",,,
County of Haldimand,2001,Single," 13,250 ",,,
County of Haldimand,2011,Single," 14,370 ",,,
County of Haldimand,2021,Single," 15,610 ",,,
County of Haldimand,2031,Single," 17,380 ",,,
County of Haldimand,2041,Single," 18,980 ",,,
County of Haldimand,2001,Semis, 410 ,,,
County of Haldimand,2011,Semis, 450 ,,,
County of Haldimand,2021,Semis, 540 ,,,
County of Haldimand,2031,Semis, 670 ,,,
County of Haldimand,2041,Semis, 800 ,,,
County of Haldimand,2001,Rows, 440 ,,,
County of Haldimand,2011,Rows, 530 ,,,
County of Haldimand,2021,Rows, 850 ,,,
County of Haldimand,2031,Rows," 1,320 ",,,
County of Haldimand,2041,Rows," 1,760 ",,,
County of Haldimand,2001,Apartment," 1,480 ",,,
County of Haldimand,2011,Apartment," 1,490 ",,,
County of Haldimand,2021,Apartment," 1,720 ",,,
County of Haldimand,2031,Apartment," 2,070 ",,,
County of Haldimand,2041,Apartment," 2,470 ",,,
Region of Niagara,2001,Single," 114,520 ",,,
Region of Niagara,2011,Single," 120,140 ",,,
Region of Niagara,2021,Single," 132,580 ",,,
Region of Niagara,2031,Single," 148,460 ",,,
Region of Niagara,2041,Single," 163,740 ",,,
Region of Niagara,2001,Semis," 8,640 ",,,
Region of Niagara,2011,Semis," 9,000 ",,,
Region of Niagara,2021,Semis," 10,330 ",,,
Region of Niagara,2031,Semis," 12,020 ",,,
Region of Niagara,2041,Semis," 13,800 ",,,
Region of Niagara,2001,Rows," 8,010 ",,,
Region of Niagara,2011,Rows," 10,740 ",, ,
Region of Niagara,2021,Rows," 14,620 ",,,
Region of Niagara,2031,Rows," 19,360 ",,,
Region of Niagara,2041,Rows," 23,890 ",,,
Region of Niagara,2001,Apartment," 31,260 ",,,
Region of Niagara,2011,Apartment," 34,820 ",,,
Region of Niagara,2021,Apartment," 36,640 ",,,
Region of Niagara,2031,Apartment," 39,520 ",,,
Region of Niagara,2041,Apartment," 42,730 ",,,
