Forecast,Scenario,Municipality,2001,2006,2011,2016,2021,2026,2031,2036,2041
 Population , Reference ,Region of Durham, 528 , 584 , 631 , 691 , 770 , 861 , 970 ," 1,081 "," 1,190 "
 Population , Reference ,Region of York, 763 , 932 ," 1,072 "," 1,199 "," 1,330 "," 1,459 "," 1,585 "," 1,699 "," 1,788 "
 Population , Reference ,City of Toronto," 2,584 "," 2,611 "," 2,725 "," 2,865 "," 2,975 "," 3,081 "," 3,193 "," 3,298 "," 3,400 "
 Population , Reference ,Region of Peel," 1,032 "," 1,213 "," 1,350 "," 1,455 "," 1,559 "," 1,660 "," 1,766 "," 1,871 "," 1,968 "
 Population , Reference ,Region of Halton, 391 , 458 , 520 , 575 , 645 , 726 , 815 , 910 ," 1,004 "
 Population , Reference ,City of Hamilton, 510 , 524 , 540 , 568 , 601 , 640 , 683 , 732 , 776 
 Population , Reference ,County of Northumberland, 81 , 84 , 85 , 88 , 91 , 96 , 100 , 105 , 110 
 Population , Reference ,County of Peterborough, 56 , 59 , 57 , 61 , 64 , 67 , 70 , 73 , 76 
 Population , Reference ,City of Peterborough, 75 , 78 , 82 , 86 , 90 , 97 , 103 , 109 , 115 
 Population , Reference ,City of Kawartha Lakes, 72 , 77 , 75 , 79 , 83 , 90 , 95 , 101 , 107 
 Population , Reference ,County of Simcoe, 254 , 273 , 288 , 314 , 346 , 380 , 416 , 456 , 497 
 Population , Reference ,City of Barrie, 108 , 134 , 141 , 155 , 173 , 191 , 210 , 231 , 253 
 Population , Reference ,City of Orillia, 30 , 31 , 32 , 34 , 36 , 38 , 41 , 44 , 46 
 Population , Reference ,County of Dufferin, 53 , 56 , 59 , 63 , 67 , 73 , 77 , 81 , 85 
 Population , Reference ,County of Wellington, 84 , 89 , 90 , 92 , 100 , 110 , 122 , 132 , 140 
 Population , Reference ,City of Guelph, 111 , 120 , 126 , 142 , 154 , 166 , 177 , 184 , 191 
 Population , Reference ,Region of Waterloo, 457 , 499 , 528 , 573 , 624 , 681 , 742 , 789 , 835 
 Population , Reference ,County of Brant, 33 , 36 , 37 , 39 , 42 , 45 , 49 , 53 , 57 
 Population , Reference ,City of Brantford, 90 , 94 , 96 , 104 , 114 , 126 , 139 , 152 , 163 
 Population , Reference ,County of Haldimand, 45 , 47 , 46 , 48 , 50 , 53 , 57 , 60 , 64 
 Population , Reference ,Region of Niagara, 427 , 442 , 446 , 463 , 483 , 511 , 543 , 577 , 610 
Employment, Reference ,Region of Durham,188,211, 240 , 268 , 300 , 327 , 356 , 388 , 426 
Employment, Reference ,Region of York,385,461, 539 , 611 , 687 , 736 , 786 , 838 , 897 
Employment, Reference ,City of Toronto,"1,435","1,469"," 1,516 "," 1,573 "," 1,618 "," 1,638 "," 1,659 "," 1,683 "," 1,716 "
Employment, Reference ,Region of Peel,534,608, 682 , 741 , 801 , 838 , 876 , 916 , 965 
Employment, Reference ,Region of Halton,189,218, 254 , 290 , 330 , 359 , 391 , 425 , 466 
Employment, Reference ,City of Hamilton,205,219, 234 , 252 , 274 , 289 , 306 , 326 , 351 
Employment, Reference ,County of Northumberland, 29 , 32 , 32 , 33 , 34 , 35 , 36 , 37 , 39 
Employment, Reference ,County of Peterborough, 14 , 15 , 15 , 16 , 17 , 18 , 20 , 21 , 24 
